Course Number,Course Name,Prerequisites,Description,PLM,AEX,HCO,SI1,SI2,SO1,SO2,QR1,QR2,IIC,GCI,ETR,WIN,OSC,DME,CRT,RIL,TWC,CRI
SAR PT 623,Musculoskeletal System III,SARPT522,"This course is designed to provide the student with the necessary skills for prevention, examination, evaluation, and intervention of musculoskeletal disorders of the spine and TM joints. It is the third in a series of musculoskeletal based classes and will complete the required musculoskeletal content of the DPT program. The student will learn a comprehensive, biopsychosocial, evidence-based and systems approach to the care of patients with musculoskeletal spinal disorders. Specifically, this course will work to teach the student how to determine which contextual factors and impairments are related to the individual's activity / or participation restrictions across the lifespan. An evidence-informed and patient-centered approach to interventions will be stressed.",,,,,,,,,,,,,,,,,,,
SAR PT 634,Diagnostic Procedures for Rehabilitation Professionals,"SARPT511, SARPT512, SARPT521, SARPT522, and SARHP532","This course will identify and describe various modes of imaging techniques and tests used in medical practice for the neuromusculoskeletal, cardiovascular, and pulmonary systems. The process of diagnosis in the context of the physical therapist's practice will be discussed. Identification of basic radiological pathology and tests results that directly impact physical therapy care and prognostication will be emphasized, as well as integration of test/imaging results in the physical therapy evaluation and plan of care. Correlation of test results with clinical examination findings will be emphasized to allow the student to engage in professional dialogue with other health care providers, including collaboration with radiologists. Diagnostic procedures covered in the course will include but not be limited to: X-ray, CT scan, MRI, bone scan, fluoroscopy, PET, SPECT, EMG/NCV, ECG, echocardiogram, thallium scan, exercise testing, cardiac catheterization, angiogram, MRA, CBC, electrolytes, lipid profiles, cardiac enzymes, and oncology markers.",,,,,,,,,,,,,,,,,,,
SAR PT 652,Neurological System I,(SARPT551),"The purpose of this course is to provide the students with a foundation for examining, evaluating, and determining appropriate interventions for individuals who have movement dysfunction secondary to neurological deficits. Students will learn the key elements of the neurological examination and its basis in functional neuroanatomy. Students will become skilled in conducting a neurological examination which is guided by the pathophysiology, patient history, and functional deficits associated with or resulting from disease or injury to the nervous system. Emphasis will also be placed on understanding normal and impaired movement through discussion of current motor control and motor learning theories. The ICF model of disablement will be used as a framework for examining and evaluating movement dysfunction and for developing a plan of care.",,,,,,,,,,,,,,,,,,,
SAR PT 653,Neurological System II,SARPT652,"This course is a continuation of Neurological Systems I and emphasizes evidence based physical therapy management for people who have specific neurological disorders. In PT652, a general foundation was developed for examining, evaluating, and determining appropriate interventions for individuals who have movement dysfunction secondary to neurological deficits. PT 653 will build on the foundation developed in PT 652 by considering how specific neurological disorders guide physical therapy practice. The course will focus on pathophysiology, examination, evaluation, diagnosis, prognosis, plan of care, intervention, and expected outcomes for commonly encountered diagnoses in neurorehabilitation such as Multiple Sclerosis, Traumatic Brain Injury, Spinal Cord Injury, Parkinson's Disease, and Cerebral Palsy. Common diagnostic groups are chosen with the intent of enhancing specific knowledge as well as developing a general problem solving approach that applies to any type of neurological diagnosis. The included diagnoses will illustrate how decision-making in physical therapy takes into account issues of age (life span), natural history, stage in the disease process, and nature (stable vs. progressive) of specific neurological disorders. Students will learn to develop a plan for examination, including the most sensitive and specific standardized examination tools, and to develop a plan of care that is specific to various diagnostic groups and that is based on current evidence.",,,,,,,,,,,,,,,,,,,
SAR PT 662,Evidence Based Practice II,(SARPT566),"This course is the second in a series of two courses on Evidence Based Practice for physical therapy students. It is designed to develop essential skills for conducting evidence-based practice. There are about three forms of evidence supporting clinical practice, that is, 1) experience from clinical practice, 2) patient values and goals, and 3) the evidence that comes from the research literature. It takes skill combining these sources of evidence into effective and efficient physical practice. This course enhances the student's ability to formulate answerable clinical questions, search relevant research literature, analyze the validity of the outcomes reported in these studies, and combine the outcomes of different research studies in the form of a research synthesis (i.e., critical review and meta-analysis). Literature addressing clinical issues of intervention, diagnosis, and prognosis will be used throughout to illustrate the arguments.",,,,,,,,,,,,,,,,,,,
SAR PT 663,Directed Research,By petition only.,Research project implemented under the guidance of a faculty supervisor.,,,,,,,,,,,,,,,,,,,
SAR PT 682,Academic Practicum 1,,"The purpose of the Academic Practicum (I & II) experience in the Doctor of Physical Therapy program is to provide students with the opportunity to apply and enhance their knowledge and skill while completing a more in-depth and practical experience in one of four areas of their choosing: service, clinical research or specialty practice/quality improvement. The experience also provides for refinement and development of skills and behaviors in a wide variety of collateral areas not immediately associated with the primary content area. Students will identify an area of interest, contact and collaborate with a mentor to design and begin implementation of a project that will extend over two semesters. The course is a two-semester course that continues through the Fall with the final project to be completed at the end of the Fall semester.",,,,,,,,,,,,,,,,,,,
SAR PT 690,Independent Study in Physical Therapy,Consent of instructor,Work on a special project developed by contract and conducted under supervision of a faculty member.,,,,,,,,,,,,,,,,,,,
SAR PT 691,Clinical Education Seminar 1,SAR PT791,"This course is the first in a series of three seminars related to clinical education experiences of students in the Doctoral of Physical Therapy Program. The content is rooted in professional behaviors, ethics, and the core values of accountability, altruism, compassion/caring, excellence, integrity, professional duty, and social responsibility in the practice of physical therapy. The Institute of Medicine Core Competencies provide a framework for assignments and discussions. The seminars are designed to bridge clinical and classroom experiences using discussion, reflective learning, authentic examples from clinical experiences, case studies, and collaborative learning. This first course/seminar will also provide tools to assist the student with requesting future clinical experiences.",,,,,,,,,,,,,,,,,,,
SAR PT 692,Clinical Education Seminar 2,SAR PT791 and PT691,"This course is the second in a series of three seminars related to clinical education experiences. The content is rooted in professional behaviors, ethics, and the core values of accountability, altruism, compassion/ caring, excellence, integrity, professional duty, and social responsibility in the practice of physical therapy. The seminars are designed to bridge clinical and classroom experiences in these areas through the use of discussion, reflective learning, real life examples from clinical experiences, case studies, and collaborative learning. This course will also provide tools to assist the student with choosing and maximizing future clinical experiences.",,,,,,,,,,,,,,,,,,,
SAR PT 720,Educational Theory & Practice - PT,,"This course explores several theories related to identity, learning, motivation and behavior change as they relate to the ability of the physical therapist to interact with an individual seeking care to maximize the individual's outcome. Students will learn how these theories are relevant when developing biopsychosocial and patient centered approach to care. Application of these theories will be emphasized that will allow the student to understand an individual's attitudes and beliefs about their health condition, personal goals, motivation, and outcome expectation and how these each relate to patient outcome. Skills grounded in these theories will be included to help the student form a productive therapeutic alliance, improve the individual's self-efficacy, facilitate adherence to treatment recommendations, and maximize outcome important to the individual.",,,,,,,,,,,,,,,,,,,
SAR PT 757,Pediatrics,,"This course is designed to improve student physical therapists' understanding, exposure, critical evaluation and integration of current best practice towards pediatric physical therapy clinical practice. The readings, class discussions and lectures will focus on increasing students' understanding of typical and atypical development, and how factors affect a child's motor performance across all environments. We will apply theoretical principles of motor control and neurological development to enhance understanding of typical motor development as well as motor development in children with various diagnoses.",,,,,,,,,,,,,,,,,,,
SAR PT 760,Special Topics,,"This seminar-based course allows students to explore unique/niche practice areas that are less emphasized in the DPT curriculum, to expand their exposure to practice settings. Relevant topics will be presented by content experts in a case-based format, to foster student engagement in understanding the role of the physical therapist in these practice settings. Topics will vary across practice settings and the lifespan.",,,,,,,,,,,,,,,,,,,
SAR PT 773,Comprehensive Clinical Reasoning,Successful completion of all second year DPT coursework.,"Comprehensive Clinical Reasoning is a case based course taught in small tutorial groups using the problem based learning format. The course is intended to enhance integration of course content taught elsewhere in the curriculum within the context of a physical therapy case study. Students will be expected to use a variety of resources, ( i.e. current literature, text books) to solve complex patient cases. Issues to be discussed will include: evidence-based patient examination, clinical decision making, effective physical therapy intervention, likely prognosis, clinical teaching, the role of the PT in relation to other health care providers, issues involved in the delivery of physical therapy, including professionalism, interpersonal skills, communication, third party payers and ethics.",,,,,,,,,,,,,,,,,,,
SAR PT 782,Academic Practicum II,,"The purpose of the Academic Practicum (I & II) experience in the Doctor of Physical Therapy program is to provide students with the opportunity to apply and enhance their knowledge and skill while completing a more in-depth and practical experience in one of four areas of their choosing: service, clinical research or specialty practice/quality improvement. The experience also provides for refinement and development of skills and behaviors in a wide variety of collateral areas not immediately associated with the primary content area. Students will identify an area of interest, contact and collaborate with a mentor to design and begin implementation of a project that will extend over two semesters. The course is a two-semester course that continues through the Fall with the final project to be completed at the end of the Fall semester.",,,,,,,,,,,,,,,,,,,
SAR PT 791,Clinical Education Experience 1,PT students only.,"This is the first of three full-time clinical experiences in the DPT curriculum. It is designed to focus on the synthesis of knowledge, skills and behaviors learned in the classroom and laboratory, and addressed during the integrated clinical experiences. Students are expected to demonstrate the ability to make sound clinical decisions in the management of non-complex patient problems in a moderately paced environment. Students are supervised in clinical and community settings by qualified physical therapists.",,,,,,,,,,,,,,,,,,,
SAR PT 792,Clinical Education Experience 2,PT students only.,"This is the second of three full-time clinical education experiences in the DPT curriculum. It is designed to focus on the synthesis of knowledge, skills and behaviors learned in the classroom, laboratory and addressed throughout the first 5 semesters of the DPT program. Students are expected to demonstrate the ability to make sound clinical decisions in the management of non-complex patient problems in a moderately paced environment. Students are supervised in clinical and community settings by qualified physical therapists.",,,,,,,,,,,,,,,,,,,
SAR PT 793,Clinical Education Experience 3,PT students only.,"This is the third of three full-time clinical experiences in the DPT curriculum. It is designed to focus on the synthesis of knowledge, skills and behaviors learned in the classroom, laboratory and addressed throughout the first 6 semesters of the DPT program. Students are expected to demonstrate the ability to make sound clinical decisions in the management of complex patient problems in a moderately paced environment. Students are supervised in clinical and community settings by qualified physical therapists.",,,,,,,,,,,,,,,,,,,
SAR PT 794,Clinical Education Seminar 3,SAR PT792,"This course is the final in a series of three seminars related to clinical education experiences of students in the Doctor of Physical Therapy program. The content is rooted in professional behaviors, ethics, and the core values of accountability, altruism, compassion/ caring, excellence, integrity, professional duty, and social responsibility in the practice of physical therapy. The seminars are designed to bridge clinical and classroom experiences through discussion, reflective/collaborative learning, and real-life examples. Some information covered in previous seminars will be explored again considering additional clinical experience in a different setting. In addition, this course will provide tools to assist the student with the transition to becoming a professional physical therapist including attaining licensure and employment and developing a plan for ongoing professional development.",,,,,,,,,,,,,,,,,,,
SAR PT 901,Neurologic Physical Therapy Residency,,Post professional program for licensed physical therapists.,,,,,,,,,,,,,,,,,,,
SAR PT 902,Fellowship in Orthopedic Manual Physical Therapy,,Post-professional program for licensed physical therapists.,,,,,,,,,,,,,,,,,,,
SAR PT 903,Fellowship in Orthopedic Manual Physical Therapy 2,,Post-professional program for licensed physical therapists.,,,,,,,,,,,,,,,,,,,
SAR RS 650,Foundations of Rehabilitation Sciences,,"This course provides an overview of the field of rehabilitation science and an introduction to the social constructs of disability with an emphasis on bio-psycho-social-environmental models of the enabling-disabling process across the life course. The historical, philosophical and theoretical foundations of Rehabilitation Science and the evolution of laws and policies related to rehabilitation that inform the ethical, funding, and social implications of rehabilitation research are analyzed. The course will also provide an in-depth understanding of person-environment interactions and the link between biomedical factors and community participation.",,,,,,,,,,,,,,,,,,,
SAR RS 750,Research Design,,"This course serves as an introduction into research designs relevant to rehabilitation science. The first set of sessions provides the background and framework for understanding the reasoning behind different research designs. The remaining sessions focus on various categories of research designs, the types of research questions these designs address, and the types of data analyses that are appropriate to the designs. The course content is integrated with the content students received in Philosophy of Rehabilitation Science. Format of sessions are lecture, discussion, and experiential. Student assignments are individualized to student areas of mentored research. Student presentations are integrated into the topics presented according to the class schedule.",,,,,,,,,,,,,,,,,,,
SAR RS 790,Teaching Skills,,"The role of the researcher as teacher is highly valued but seldom emphasized in graduate education. This course is designed to provide students with the opportunity to learn and practice sound teaching and learning principles and mechanics into the teaching of College-level students. Students will be required to present a class four times during the semester. Following presentations, the student will be critiqued by the instructor and by peers. Students will also be given a number of readings around which discussion will take place. Discussion will emphasize how students might incorporate the lessons from their readings into the next presentation. Finally students will be required to develop a detailed course outline and schedule and a sample lesson. Ideally this will be preparation for a class that the student may eventually teach. The primary emphasis will be on teaching of medium to large classes using the lecture method.",,,,,,,,,,,,,,,,,,,
SAR RS 870,Emerging Topics,,Units: Var A seminar for doctoral students that focuses on a different topic each semester.,,,,,,,,,,,,,,,,,,,
SAR RS 890,Doctoral Seminar in Rehabilitation Sciences,,"Units: Var This seminar allows for a discussion of topics of interest to doctoral-level students in the PhD program in Rehabilitation Sciences, and is designed to provide insight in 1) curricular aspects of the PhD program, 2) mentor-mentee relationship, 3) skills necessary for PhD graduates entering the field of rehabilitation sciences with a research doctorate, and 4) interdisciplinary nature of the field of rehabilitation. This course enhances the student's ability to successfully complete the PhD program by working on skills needed to write and critically review IRB proposals, research manuscripts and research grant proposals, to outline ethical dilemmas in research, to formulate and disseminate a line of inquiry, and to distinguish various career paths. Literature addressing these issues will be used throughout to illustrate the arguments.",,,,,,,,,,,,,,,,,,,
SAR RS 910,RS PhD Directed Reading,,Units: Var For students working with a faculty member on a topic-specific literature review.,,,,,,,,,,,,,,,,,,,
SAR RS 911,RS PhD Directed Research,,Units: Var For students working with a faculty member on a research project other than the student's final dissertation research.,,,,,,,,,,,,,,,,,,,
SAR RS 920,RS PhD Comprehensive Examination,,Units: Var For students in the PhD program in Rehabilitation Sciences who are working on the comprehensive examination.,,,,,,,,,,,,,,,,,,,
SAR RS 930,RS PhD Dissertation Proposal Development,,"Units: Var Continuing registration for PhD students in Rehabilitation Sciences, used after passing the comprehensive exam and prior to beginning the final dissertation research. RS 920 should be completed with a grade of P.",,,,,,,,,,,,,,,,,,,
SAR RS 940,RS PhD Dissertation Research,,Units: Var Continuing registration for PhD students in Rehabilitation Sciences who are completing the dissertation. RS 930 should be completed with a grade of P or waived by petition.,,,,,,,,,,,,,,,,,,,
SAR SH 110,"Introduction to Speech, Language, and Hearing Sciences",,Introduction to various speech and language disorders found across linguistically and culturally diverse populations. Characteristics underlying biological systems and methods for evaluation and treating a variety of communication disorders are examined. Exploration of the professions of speech pathology and audiology.,,,,,,,,,,,,,,X,,,,X,
SAR SH 220,Anatomy and Physiology of the Speech Mechanism,,"Study of the physiological structures and functions that underlie speech production. Emphasis is placed on the respiratory, phonatory, and articulatory systems. Introduction to neuroanatomy and neural control of the production of speech as well as dysfunction of these normal processes in clinical disorders is included. Anatomy labs are incorporated into each unit for hands-on learning.",,,,,,,,,,,,,,,,,,,
SAR SH 221,Phonetics,,"Phonetics is the science of the sounds of speech, including how they are produced, perceived, and classified. In this course, students will develop competence in perceiving and classifying the segmental and suprasegmental patterns of American English. Students will master the International Phonetic Alphabet for broad and narrow transcription of vowels, consonants, and connected speech. Classroom and lab-based activities will develop listening and transcription skills for analyzing individual differences in dialect and accent, phonological development, and disordered speech.",,,,,,,,,,,,,,,,,,,
SAR SH 230,Language Acquisition,,"This course will focus on first language acquisition in infancy and childhood. We will cover the progression of language development in each of the traditional areas of linguistic analysis: phonology, semantics, syntax, and pragmatics. The course will be focused on experimental research in typical language acquisition and on different theories that strive to explain the underlying cognitive and linguistic mechanisms at work in an early learner.",,,,,,,,,,,,,,,,,,,
SAR SH 240,Introduction to Audiology,,"This course provides an overview of the field of audiology. Through lecture, laboratory, and case study activities students will cover topics such as adult and pediatric hearing assessment using pure-tone and speech audiometric techniques, as well as measurements of outer-ear, middle-ear, central auditory and vestibular function. The course includes information about acoustics, the anatomy and physiology of the hearing and balance system, and pathologies affecting these areas.",,,,,,,,,,,,,,,,,,,
SAR SH 245,Hearing Science,,"This course examines the biology and psychology of how we hear, listen, and understand the world around us through sound. Topics include foundational acoustics and the physics of sound; anatomy and physiology of the peripheral and central auditory system; neural coding and representation of sound; psychoacoustics; binaural and spatial hearing; auditory scene analysis; the perception of speech and music; and the role of hearing in speech communication and its disorders.",,,,,,,,,,,,,,,,,,,
SAR SH 325,Speech Science,(SARSH221 & SARSH220),"Lecture, laboratory, and demonstrations. Introduction to the basic physics of sound, including the decibel scale, spectral analysis, and resonance. Includes speech production, speech perception and suprasegmental effects.",,,,,,,,,,,,,,,,,,,
SAR SH 335,Neurobiology of Language,CASPS101 or CASNE101 or CASLX250,"This course examines the neuroscience of language and communication. Topics include the brain bases of speech perception and production; lexical, semantic, and syntactic processing; language learning and development; neurogenic communication disorders; reading and literacy; and the interface between language and cognition (perception, attention, and memory). The course emphasizes modern neuroimaging approaches to human neuroscience. Students design and carry out an fMRI experiment to study the brain bases of language.",,,,,,X,X,,,,,,,,,,,X,X
SAR SH 340,Aural Habilitation and Rehabilitation,(SARSH240),An introduction to theory and techniques of audiologic habilitation and rehabilitation in audiology and speech-language pathology. The significance of Deaf world issues in the field of aural rehabilitation is addressed throughout the course.,,,,,,,,,,,,,,,,,,,
SAR SH 350,Clinical Methods,"SARSH221, SARSH230, and SARSH110; or consent of instructor.","This course is designed to prepare speech-language pathology students to enter into clinical practicum. Students will study theories of clinical process through guided observation experiences, As part of this course, students will complete the ASHA requirement of 25 clinical observation hours.",,,,,,,,,,,,,,,,,,,
SAR SH 355,Introduction to Language Disorders across the Lifespan,(SARSH230),"This course will provide a broad overview of language disorders across the life span. Students will learn about the causes and characteristics of a variety of developmental and acquired language disorders. We will discuss assessment of language skills and various evidence-based treatment methodologies using video demonstration and observation, and simulated practical experiences.",,,,,,,,,,,,,,,,,,,
SAR SH 356,Introduction to Speech Sound Disorders,(SARSH221 & SARSH230),"This course provides an overview of current models of typical and disordered phonological development. Students examine and practice evidenced-based principles and practical applications of assessment, analysis, diagnosis, and intervention approaches and procedures to facilitate critical thinking and problem-solving abilities to apply to working with children with a variety of speech sound disorders.",,,,,,,,,,,,,,,,,,,
SAR SH 415,Senior Seminar: Internship,,The goal of this capstone seminar is to provide SLHS students with knowledge and skills in professionalism and the application of different types of evidence as a basis for practice in a variety of clinical and research settings. The course involves internships related to the disciplines of speech language and hearing sciences and is for students in their final year of these majors.,,,,X,,,,,,,X,,,,,,,,
SAR SH 497,Directed Study in Speech Pathology and Audiology,,"Units: Var Independent study in selected areas of speech and language disorders, language and learning disabilities, speech and hearing sciences, or audiology. Term paper or other project summary.",,,,,,,,,,,,,,,,,,,
SAR SH 605,Speech Sound Disorders,For MS-SLP students only or with consent of the instructor,Current theoretical models of phonological development and analysis will be applied to decision making processes in assessment and treatment of speech sound disorders.,,,,,,,,,,,,,,,,,,,
SAR SH 620,Neuroimaging for Speech and Hearing Research,,"In this course, students will learn the scientific and technical foundations of magnetic resonance imaging and their application to cognitive neuroscience research in speech, language, and hearing. Topics include acquisition of the MRI signal and its neuroanatomical and neurophysiological bases, the design of MRI experiments to study brain structure and function, and the statistical analysis of structural and functional MRI data. Through lectures, readings, and hands-on laboratory exercises using standard computational software for human neuroimaging, students will explore contemporary application of MRI techniques and gain practical experience acquiring and analyzing MRI data.",,,,,,,,,,,,,,,,,,,
SAR SH 647,Introduction to Clinical Process,Graduate program enrollment status and consent of instructor,"This course is designed to prepare first year MS-SLP students to enter into clinical practicum. Students will study theories of clinical process through guided observation experiences in preparation for SH740, their first practicum experience in the Boston University Academic Speech, Language and Hearing Center. Also as part of this course, students will complete the ASHA requirement of 25 clinical observation hours.",,,,,,,,,,,,,,,,,,,
SAR SH 648,Clinical Remediation,,This course is designed to support students who require additional instruction and practice to meet essential clinical and/or professional practice competencies,,,,,,,,,,,,,,,,,,,
SAR SH 650,Healthcare Seminar,For MS-SLP students only or with consent of the instructor,"MS in Speech-Language Students only. The goal of this seminar is to provide students in medical field placements with knowledge regarding service delivery models, reimbursement issues, documentation requirements, assessment approaches, goal setting, interdisciplinary team approaches, prioritizing treatment concerns and discharge planning. Case study presentations and discussions will be generated from students' field placement experiences.",,,,,,,,,,,,,,,,,,,
SAR SH 680,Neural Control of Speech,,"The course will focus on speech motor control, i.e. the production of phoneme strings with minimal regard for linguistic content. More specifically, brain mechanisms responsible for commanding the musculature of the vocal tract to produce articulations that lead to an acoustic signal that conveys a desired string of syllables with a desired prosodic contour will be covered. This treatment will include neuroanatomical and neurophysiological descriptions of the primary brain structures involved in speech production, with particular emphasis on the cerebral cortex and its interactions with the cerebellum and basal ganglia using basic control theory concepts to explore the computations performed by these brain regions.",,,,,,,,,,,,,,,,,,,
SAR SH 691,Introduction to Augmentative and Alternative Communication,For MS-SLP students only or with consent of the instructor.,"Introduces augmentative and alternative communication. Focuses on clinical features and considerations of AAC tools and strategies, candidacy for AAC across the age span and features matching and domains of assessment process required for successful evidence-based AAC implementation.",,,,,,,,,,,,,,,,,,,
SAR SH 700,Research Methods in Speech-Language Pathology and Audiology,For MS-SLP students only or with consent of the instructor.,"Evidence-based practice in the diagnosis and remediation of speech, language or hearing disorders requires the application of research methods to answering clinical questions. The course includes an introduction to a range of experimental designs, statistical analyses, and measurement approaches in the fields of speech-language pathology and audiology. Contemporary journal articles are evaluated for quality and used as examples for sufficiency of evidence in clinical decision making.",,,,,,,,,,,,,,,,,,,
SAR SH 701,Counseling in Speech-Language Pathology: An Introductory Seminar,For MS-SLP students only or with consent of the instructor.,"An introduction to the basic principles, theory, skills, and clinician characteristics necessary for counseling clients and their families. Emphasis is placed on the developing self-awareness and clinical presence as foundations for insight into the client's situation and choosing helpful responses.",,,,,,,,,,,,,,,,,,,
SAR SH 702,Public School,For MS-SLP students only or with consent of the instructor.,"MS Speech-Language Pathology students only. The goal of this seminar is to provide students in public school practicum placements with knowledge regarding school-related issues such as service delivery models, assessment approaches, curriculum frameworks, governing laws and regulations, and the consultation process.",,,,,,,,,,,,,,,,,,,
SAR SH 704,Clinical Reasoning: Inter-Professional Education (IPE),For MS-SLP students only.,"This course will address the four Inter-Professional Education (IPE) core competencies: values and ethics, roles and responsibilities, inter- professional communication, and teams and teamwork.",,,,,,,,,,,,,,,,,,,
SAR SH 705,Clinical Reasoning: Case Studies,For MS-SLP students only.,"This course focuses on the application of evidence based practice, inter- professional practice, and knowledge and skills acquired in previous courses to clinical problem solving in case studies that cover a range of disorders.",,,,,,,,,,,,,,,,,,,
SAR SH 706,Clinical Reasoning: Advanced Case Studies,For MS-SLP students only.,"This course focuses on the application of evidence-based practice, inter- professional practice, and knowledge and skills acquired in previous courses to clinical problem solving in advanced case studies that cover a range of disorders.",,,,,,,,,,,,,,,,,,,
SAR SH 709,Language Sample Analysis,For MS-SLP students only or with consent of the instructor.,"This course provides students with the knowledge and skills required to elicit, transcribe and analyze conversation, narrative and expository language samples. Analyses in the areas of syntax, semantics, pragmatics and discourse are presented and the strengths and weaknesses of each of the analyses are discussed. The course also includes a discussion of theoretical and clinical issues related to the use of language sampling and analysis in the assessment and treatment of language disorders.",,,,,,,,,,,,,,,,,,,
SAR SH 715,Professional Issues,For MS-SLP students only or with consent of the instructor.,"This course addresses professional issues relevant for graduate students preparing to transition into the work world. Topics addressed include preparing for professional certification exams, applying for licensure/certification, ethical challenges in the workplace, continuing education responsibilities, job seeking/interviewing and preparing documentation for graduation.",,,,,,,,,,,,,,,,,,,
SAR SH 716,Head and Neck Cancer,,"For MS-SLP students only or with consent of the instructor. This course provides an in-depth exploration of the evaluation and treatment of individuals with head and neck cancer from the perspective of a speech-language pathologist. Students will examine the anatomical, physiological, and psychological impacts of head and neck cancer, as well as the effects of medical cancer treatments—including surgery, radiation therapy, chemotherapy, and their combinations—on communication and swallowing function. Emphasis will be placed on interdisciplinary collaboration and patient-centered care to optimize functional outcomes and quality of life. Through interactive case studies, simulations, and interdisciplinary training sessions, students will develop critical skills in clinical reasoning, treatment planning, and collaborative decision-making for managing these complex cases.",,,,,,,,,,,,,,,,,,,
SAR SH 720,Craniofacial Disorders,For MS-SLP students only or with consent of the instructor.,"Graduate Prerequisites: Consent of Instructor - Ontogenetic, anatomic, and physiologic aspects of orofacial anomalies with an emphasis on cleft lip and palate. Issues involving a team approach to diagnosis and treatment including medical, surgical, prosthetic, and therapeutic procedures.",,,,,,,,,,,,,,,,,,,
SAR SH 721,Motor Speech Disorders,For MS-SLP students only or with consent of the instructor.,"In this course, students will review the neuroanatomy underlying motor speech disorders and will then learn about each type of motor speech disorder in detail. Most of the classes will cover specific types of dysarthria, but two sessions will focus on apraxia of speech. Clinical assessment protocols will be learned and treatment interventions will be covered. Each class will devote some time to listening and scoring audiotapes of patients with a dysarthria or apraxia of speech.",,,,,,,,,,,,,,,,,,,
SAR SH 725,Bilingual Considerations in Language Assessment and Intervention,,This course will review second language acquisition and bilingualism research and will introduce evidence-based assessment and intervention approaches for working with culturally and linguistically diverse individuals.,,,,,,,,,,,,,,,,,,,
SAR SH 727,Autism,For MS-SLP students only or with consent of the instructor.,"This course provides students with the core features of autism spectrum disorders (ASD) and a description of the fundamental features of associated communication disorders. Students have the opportunity to examine receptive language, expressive language and pragmatics in individuals with ASD through video presentations and review of the literature. Students discuss and evaluate issues associated with ASD including early diagnosis, behavioral challenges, treatment techniques, and current issues in the field.",,,,,,,,,,,,,,,,,,,
SAR SH 728,Pediatric Feeding and Swallowing,,"This course provides information on the development of pediatric feeding and swallowing and their associated disorders. It includes an overview of normal development, including breastfeeding, bottle feeding, and transition onto solids; anatomy, physiology, and neurology of pediatric feeding and swallowing; and the epidemiology of common pediatric feeding and swallowing problems. The course covers formal and informal clinical assessment; instrumental assessments; treatment of pediatric feeding and swallowing problems, including the use of thickened fluids, modified diets, special equipment, positioning, oral sensory-motor therapy, and behavioral feeding therapy. A team structure approach is emphasized along with the importance of counseling families and caregivers, including a discussion of multicultural feeding influences. Students will be able to implement assessment and therapy tasks in the form of hands-on skills and integrate these with patient interaction skills via immersive scenarios, simulation equipment and staff role-play of situations commonly encountered in clinical practice.",,,,,,,,,,,,,,,,,,,
SAR SH 729,Language and Literacy Disorders,For MS-SLP students only or with consent of the instructor.,"This course provides students with a foundation of knowledge about the etiology and characteristics of language disorders in school-age children. Students will discuss the evolving language demands that children encounter as they progress through school, and will explore the impact of language disorders on academic performance and social interaction in the classroom. Students will come to appreciate the relationship between oral and written language development, as well as the role of the SLP in the assessment and treatment of written language disorders. This course gives students the tools necessary to effectively identify, evaluate and treat children with language, reading and writing disorders.",,,,,,,,,,,,,,,,,,,
SAR SH 732,Stuttering and Related Disorders,,"This course focuses on equipping students with an understanding of historical and contemporary principles and theories surrounding the nature of stuttering and related disorders, including etiology, assessment and differential diagnosis, and treatment across the lifespan. The course will prepare students to understand and identify the overt and covert features of stuttering and their multifaceted impacts on the lived experience of stuttering. Students will develop an understanding of the SLPs role in the individualized assessment and treatment of people who stutter including crafting multidimensional therapy approaches (e.g. stutter affirming therapy, avoidance reduction, behavioral modification, and counseling skills) and advocacy. The course goal is to foster compassion and critical thinking to promote dynamic, individualized, and effective support for people who stutter and invested parties. During this course, students will obtain knowledge and skills as required by the CAA and ASHA accreditation standards through classroom discussion, assigned readings, clinical cases, lab classes and practical assignments.",,,,,,,,,,,,,,,,,,,
SAR SH 733,Voice and Resonance Disorders,For MS-SLP students only or with consent of the instructor.,"This course outlines the structural and functional bases of typical and disordered voice and resonance. Assessment and therapeutic techniques are structured around the fundamental principles of the science of speech production, including acoustic phonetics, basic signal processing, speech analysis, and speech perception. Both pediatric and adult disorders of voice and resonance are covered, with special emphasis on the function of interdisciplinary teams in assessment and treatment.",,,,,,,,,,,,,,,,,,,
SAR SH 734,Acquired Cognitive Disorders,For MS-SLP students only or with consent of the instructor.,"An introduction to the rehabilitation of individuals with acquired brain injury across the recovery continuum from acute care to post-acute rehabilitation and reintegration into the community. Primary focus is on the role of the speech-language pathologist and the knowledge and skills required for diagnosis and treatment of this population. Formal and informal assessment tools, treatment paradigms, function of the interdisciplinary team, prevention, advocacy, and strategies to address the needs of family members are presented.",,,,,,,,,,,,,,,,,,,
SAR SH 735,Language Disorders in Early Childhood,For MS-SLP students only or with consent of the instructor.,"This course explores communication disorders from infancy through the preschool period. Topics addressed include theoretical frameworks for the assessment and treatment of childhood language disorders, etiology and characteristics of language/communication disorders in infants and preschool children, principles and methods of assessment and intervention, multicultural issues in assessment and intervention, and current issues in the early childhood language disorders research literature. Class sessions and assignments are designed to facilitate students' critical thinking and problem solving abilities in the area of infant and preschool communication/language disorders.",,,,,,,,,,,,,,,,,,,
